company_name,industry_type
이랜드,"단독 주택 건설업,근무복, 작업복 및 유사의복 제조업,백화점,비주거용 건물 개발 및 공급업,쇼핑몰·오픈마켓·소셜커머스,휴양콘도 운영업,기타 비알코올 음료 제조업,그 외 기타 협회 및 단체"
건설공제조합,"사업 공제업,은행·금융,공기업·공공기관,사회복지·요양,학교(초·중·고·대학·특수)"
연세대학교 원주캠퍼스,
효성중공업,"변압기 제조업,,전동기 및 발전기 제조업,스포츠·여가·레저"
버버리코리아,"섬유·의류·패션,의복 액세서리 및 모조 장신구 도매업"
SK브로드밴드,"기타 통신 판매업,전기 통신업,가전제품, 통신장비 및 부품 도매업,네트워크·통신서비스"
대교,"방문 교육 학원,지주회사,학습지·방문교육,"
진에어,항공 여객 운송업
동화세상에듀코,"온라인 교육 학원,학원·어학원·교육원,학습지·방문교육"
건양대학교,"학원·어학원·교육원,학교(초·중·고·대학·특수),,의료(병원분류별),기타 전문 서비스업"
우리카드,"신용카드 및 할부금융업,은행·금융,일반 통신 공사업"
IGM세계경영연구원,경영 컨설팅업
에스오일,"원유 정제처리업,윤활유 및 그리스 제조업,백화점·유통·도소매"
GS홈쇼핑,"방송·케이블·프로덕션,유선 방송업,쇼핑몰·오픈마켓·소셜커머스,물류·운송·배송,백화점·유통·도소매"
태평양물산,섬유·의류·패션
현대삼호중공업,"강선 건조업,도장 공사업"
교보생명보험,"생명 보험업,증권 중개업,비주거용 부동산 관리업,솔루션·SI·CRM·ERP"
디오티스,솔루션·SI·CRM·ERP
잡앤잡 신한은행,
크레텍,"백화점·유통·도소매,철물, 금속 파스너 및 수공구 도매업,기타 산업용 기계 및 장비 도매업"
코리아세븐,"백화점·유통·도소매,체인화 편의점,기타 반도체소자 제조업,그 외 자동차용 신품 부품 제조업,상품 종합 도매업,,생활화학·화장품"
한국가스공사,"연료용 가스 제조 및 배관공급업,,음식료·외식·프랜차이즈"
한국유나이티드제약,제약·보건·바이오
현대위아,"자동차용 신품 조향장치 및 현가 장치 제조업,,기계·기계설비"
롯데슈퍼,"백화점·유통·도소매,콜센터·아웃소싱·기타,,슈퍼마켓"
NHN Entertainment,매니저업
CJ엠디원,
한국보건복지정보개발원,
이노스닷컴,
풀무원,"기관 구내식당업,그 외 기타 식료품 제조업,액상시유 및 기타 낙농제품 제조업,기타 가공식품 도매업,건강기능식품 제조업,그 외 기타 협회 및 단체"
