name,length
전공 및 경력사항 (480 byte / 500 byte),31
풀무원과 해당직무를 지원한 이유(동기)는?,23
현재까지 살아오면서 성공했던 최고의 경험 또는 실패했던 최악의 경험은?,39
본인의 역량 및 성격의 장단점은 ?,19
입사 후 자기개발을 위한 계획은?,18
풀무원의 Vision에 대한 당신의 생각은?,24
삶을 통해 이루고 싶은 인생의 비전 또는 목표 3가지를 우선순위 순으로 적어 주십시오.,48
"한 가지 제 2 외국어를 원어민 수준으로 통달해, 해당 지역의 문화를 공부하는 일",45
인생에서 나를 위한 단 한 벌의 정장을 직접 재단하고 제작하는 일,36
"내 자식에게, 열심히 사는 사람이라면 누구나 행복한 삶을 살 수 있는 세상을 만들어주는 일",50
자신이 다른 사람과 구별되는 능력이나 기질을 써주십시오.,31
약속 장소에 항상 10분 전까지 미리 도착해 상대를 맞이하는 능력,36
3D에 대한 이해도가 뛰어난 공간지각능력,22
늘 상대방의 입장을 먼저 생각하고 행동하는 역지사지의 능력,32
자신의 인생에 가장 영향을 끼친 사건 3가지를 든다면?,30
생각지도 못한 갤러리아 백화점 의류매장 아르바이트를 통해 인생의 멘토를 만남,42
대한민국 국토대장정을 통해 얻게 된 친구들과 협동심,28
"살아오면서 자신이 성취한 것 중 자랑할 만한 것을 1,2가지 소개해 주십시오.(100자 미만)",52
후배에게 추천하고 싶은 책 3권을 중요한 순서대로 적어 주십시오.,36
사랑하라 한번도 상처받지 않은 것처럼 – 시집 / 류시화 엮음 / 시는 짧지만 강렬한 메세지로 인생의 희노애락 중 어떤 순간에도 스스로에게 힘을 줄 수 있기때문,89
혼창통 / 이지훈 / 더 큰 꿈을 꾸기 위해 나에게 필요한 큰 가치들을 깨달을 수 있기 때문,51
노는 만큼 성공한다 / 김정운 / 즐거운 인생을 위해 잘 놀 줄 아는 것에 대한 가치를 알려주고 싶기 때문,59
즐겨 찾는 인터넷 사이트와 그 이유를 설명해 주십시오.,30
"Red Dot Award / 시시각각 변화하는 디자인 트렌드를 파악할 수 있고, 다양한 아이디어가 두뇌를 말랑말랑하게 해주기 때문",72
네이버캐스트 / 다양한 전공분야를 누구나 이해할 수 있도록 쉽게 설명해주기 때문,44
경품으로 살림 장만하는 사람들 / 경품 응모를 통해 인생의 소소한 즐거움을 느끼기 위해,48
자신에게 있어서 직장생활의 의미를 써 주십시오(200자 미만),34
"자신의 1년 후, 5년 후, 10년 후 계획을 구체적으로 기술해 주세요.",40
"자신이 성취한 것 중 자랑할 만한 것을 1,2 가지 소개해 주세요.",37
자신이 다른 사람과 구별되는 능력이나 기질을 써주십시오.(200자 이내),40
자신에게 있어 판매전문가의 의미에 대해서 써 주십시오.(300자 이내),39
최근에 가본 spa 매장에 대해서 개선 제안을 한다면? (500자 이내),40
"인생에서 가장 소중한 가치가 있다면 무엇이며, 향후 대한주택보증인으로서 직장생활 한다    면 가장 소중한 가치는 무엇이라 생각합니까?",75
성격 및 생활신조,9
학교생활/해외연수 경험,12
"귀하의 성격, 대인관계, 가치관 등을 잘 설명할 수 있는 실제 사례, 경험 등에 대해 기술하여 주십시오. 또한, 귀하가 한전을 선택한 이유와 직업인으로서 장기적 목표는 무엇인지 기술하여 주십시오.",109
"최근 3년 이내에 귀하께서 어떤 목표를 성취한 경험이 있다면 구체적인 동기, 행동, 결과 등을 기술하여 주십시오.",63
귀하가 한전에 입사하여 효과적인 업무 수행을 하기 위해 필요하다고 생각하는 능력에는 어떤 것이 있습니까? 최근 3년 이내에 귀하는 해당 능력을 개발하기 위해서 어떤 노력을 하였습니까? 관련 능력을 발휘했던 경험이 있다면 기술하여 주십시오.,133
"한전의 고객을 특정 기준에 따라 분류하고, 해당 고객에게 가장 적합한 서비스 또는 고객만족 방법은 무엇일지 귀하의 아이디어를 기술하여 주십시오.",80
종근당에 지원한 동기와 지원한 직무에 대하여 성공적으로 수행할 수 있다고 생각하는 이유를 개인의 강점과 개성을 바탕으로 서술해 주십시오.,76
직무관련경험(자유 서술),13
여러분의 대학생활 중 가장 뛰어난 성과를 이뤄냈던 경험을 구체적으로 적어주세요. (1000),51
